country_1,country_2,city_region,name,system,operator,launched,discontinued
Albania,Albania,Tirana,Ecovolis,NA,NA,March 2011,Discontinued
Argentina,Argentina,Buenos Aires,Ecobici,Serttel Brasil,Bike In Baires Consortium,2010,NA
Argentina,Argentina,Mendoza,Metrobici,NA,NA,2014,NA
Argentina,Argentina,Rosario,Mi Bici Tu Bici,NA,NA,2 December 2015,NA
Argentina,Argentina,"San Lorenzo, Santa Fe",Biciudad,Biciudad,NA,27 November 2016,NA
Australia,Australia,Melbourne,Melbourne Bike Share,PBSC & 8D,Motivate,June 2010,30 November 2019
Australia,Australia,Melbourne,oBike,4 Gen. oBike,NA,July 2017,July 2018
Australia,Australia,Brisbane,CityCycle,3 Gen. Cyclocity,JCDecaux,September 2010,July 2021
Australia,Australia,Sydney,Reddy Go,Reddy Go,NA,July 2017,NA
Australia,Australia,Sydney,oBike,4 Gen. oBike,NA,July 2017,July 2018
Australia,Australia,Sydney,Ofo,4 Gen. Ofo,NA,October 2017,Discontinued
Austria,Austria,Burgenland,nextbike,3 Gen. nextbike,NA,2009,NA
Austria,Austria,Innsbruck,nextbike,NA,NA,NA,NA
Austria,Austria,Klagenfurt am Wörthersee,nextbike,NA,NA,NA,NA
Austria,Austria,Kufstein,nextbike,NA,NA,NA,NA
Austria,Austria,Lower Austria,nextbike,3 Gen. nextbike,NA,2009,NA
Austria,Austria,Salzburg,nextbike,3 Gen. nextbike,NA,2011,NA
Austria,Austria,Vienna,Citybike Wien,3 Gen. Cyclocity,"JCDecaux
Gewista",June 2003,NA
Austria,Austria,Vienna,nextbike,NA,NA,NA,NA
Austria,Austria,Vienna,Viennabike ,2 Gen.,Association and city council,April 2002,November 2002
Austria,Austria,Vorarlberg,nextbike,3 Gen. nextbike,NA,2009,Discontinued
Bangladesh,Bangladesh,"Dhaka, Chattogram, Sylhet",JoBike,JoBike,NA,2018,NA
Belgium,Belgium,Aalst,Dott,NA,NA,NA,NA
Belgium,Belgium,Antwerp,Velo Antwerp,3 Gen. Clear CC,Service2Cities (subsidiary of Clear Channel Belgium),9 June 2011,NA
Belgium,Belgium,Antwerp,Donkey Republic,NA,NA,NA,NA
Belgium,Belgium,Brussels,Bolt,NA,NA,NA,NA
Belgium,Belgium,Brussels,Dott,NA,NA,NA,NA
Belgium,Belgium,Brussels,Villo!,3 Gen. Cyclocity,JCDecaux,19 May 2009 (earlier system since 2006),NA
Belgium,Belgium,Ghent,Donkey Republic,NA,NA,NA,NA
Belgium,Belgium,Ghent,Dott,NA,NA,NA,NA
Belgium,Belgium,Lille,TIER,NA,NA,NA,NA
Belgium,Belgium,Namur,Bolt,NA,NA,NA,NA
Belgium,Belgium,Namur,Libiavelo,3 Gen. Cyclocity,JCDecaux,21 April 2012,NA
Belgium,Belgium,Various locations,dBlue-bike,Blue-bike,Blue-Mobility,1 May 2011,NA
Belgium,Belgium,Various locations,Donkey Republic,NA,NA,NA,NA
Bosnia and Herzegovina,Bosnia and Herzegovina,Banja Luka,BL bike,3 Gen. nextbike,nextbike,3 April 2018,NA
Bosnia and Herzegovina,Bosnia and Herzegovina,Mostar,nextbike,3 Gen. nextbike,NA,26 March 2023,NA
Bosnia and Herzegovina,Bosnia and Herzegovina,Sarajevo,nextbike,3 Gen. nextbike,NA,1 June 2016,NA
Bosnia and Herzegovina,Bosnia and Herzegovina,Tuzla,nextbike,3 Gen. nextbike,NA,14 July 2017,1 May 2019
Bosnia and Herzegovina,Bosnia and Herzegovina,Zenica,nextbike,3 Gen. nextbike,NA,11 October 2019,NA
Brazil,Brazil,Belo Horizonte,Bikebh,Mobilicidade,NA,2014,NA
Brazil,Brazil,Fortaleza,Bicicletar,Mobilicidade,NA,15 December 2014,NA
Brazil,Brazil,João Pessoa,SAMBA,Mobilicidade,NA,NA,NA
Brazil,Brazil,(Pedro de) Toledo,Toopedalando,Toopedalando,NA,2011,NA
Brazil,Brazil,Rio de Janeiro,Bike Rio,tembici,NA,2011,NA
Brazil,Brazil,Salvador,Bike Salvador,tembici,NA,2013,NA
Brazil,Brazil,São Paulo,Bikesampa,tembici,NA,2012,NA
Brazil,Brazil,Sorocaba,Integrabike,tembici,NA,2012,NA
Bulgaria,Bulgaria,Burgas,VeloBurgas,Mobilicidade,NA,2012,NA
Canada,Canada,Hamilton,Hamilton Bike Share,Social Bicycles,NA,20 March 2015,NA
Canada,Canada,"Kitchener, Ontario",Community Access Bicycles,Community Access Bicycles,NA,"2011, relaunched 21 August 2013",NA
Canada,Canada,Montreal,BIXI Montréal,PBSC & 8D,NA,2009,NA
Canada,Canada,Quebec City,àVélo,PBSC,NA,9 July 2021,NA
Canada,Canada,Toronto,Bike Share Toronto,PBSC,Motivate,2011,NA
Canada,Canada,Vancouver,Mobi,3 Gen. CycleHop,NA,20 July 2016,NA
Canada,Canada,Victoria,U-Bicycle,NA,NA,September 2017,2020
Chile,Chile,Santiago,Bikesantiago,3 Gen. B-Cycle,NA,2013,NA
China,China,Anqiu,Anqiu Public Bicycle,NA,NA,December 2013,NA
China,China,Baoji,Baoji Public Bicycle Service,NA,NA,September 2013,NA
China,China,Beijing,NA,NA,NA,2012,NA
China,China,Changzhou,Changzhou Public Bicycle,NA,NA,NA,NA
China,China,Chengdu (Jinniu District),–,Shanghai Forever Bicycle Co.,NA,June 2010,NA
China,China,Chengdu (Gaoxin District ),–,NA,NA,December 2010,NA
China,China,Foshan,NA,NA,NA,August 2010,NA
China,China,Fuzhou,Fuzhou Public Bicycle,NA,NA,June 2011,NA
China,China,Guangzhou,GZ-Public Bicycle,NA,NA,June 2010,NA
China,China,Haikou,NA,NA,NA,April 2013,NA
China,China,Haining,Haining Public Bicycle,NA,NA,October 2012,NA
China,China,Hangzhou,Hangzhou Public Bicycle,NA,NA,October 2008,NA
China,China,Heihe,NA,NA,NA,May 2012,NA
China,China,Heze,NA,NA,NA,April 2014,NA
China,China,Hohhot,NA,NA,NA,October 2013,NA
China,China,Huaian,Huaian Public Bicycle,NA,NA,October 2013,NA
China,China,Huaibei,Huaibei Public Bicycle,NA,NA,April 2014,NA
China,China,Huangyan,Huangyan Public Bicycle,NA,NA,January 2012,NA
China,China,Huizhou,Guangzhou Huimin,NA,NA,April 2012,NA
China,China,Huzhou,Huzhou Public Bicycle,NA,NA,December 2013,NA
China,China,Jiangyin,NA,NA,NA,November 2008,NA
China,China,Jiaxing,Jiaxing Public Bicycle,NA,NA,December 2011,NA
China,China,Jinhua,Jinhua Orange Public Bicycle Service,NA,NA,October 2013,NA
China,China,Jiujiang,NA,NA,NA,February 2014,NA
China,China,Jiyuan,NA,NA,NA,September 2013,NA
China,China,Kaixian,NA,NA,NA,January 2011,NA
China,China,Kunshan,NA,Forever Bicycle,NA,September 2010,NA
China,China,Lanxi,China,NA,NA,July 2014,NA
China,China,Lanzhou,Lanzhou Public Bicycle,NA,NA,June 2014,NA
China,China,Lhasa,NA,NA,NA,November 2013,NA
China,China,Linhai,NA,NA,NA,June 2011,NA
China,China,Lishui,NA,NA,NA,February 2013,NA
China,China,Luoyang,Luoyang Public Bicycle,NA,NA,25 May 2013,NA
China,China,Maanshan,Maanshan Public Bicycle,NA,NA,NA,NA
China,China,Nanning,NA,NA,NA,December 2013,NA
China,China,Nantong,Nantong Economic and Technological Development Area Public Bicycle,Forever Publicbike Intelligent Systems,NA,1 January 2013,NA
China,China,Ningbo,Ningbo Public Bicycle,NA,NA,September 2013,NA
China,China,Qingzhou,NA,NA,NA,2010,NA
China,China,Shanghai,NA,Forever Bicycle,NA,March 2009,NA
China,China,Shaoxing,Shaoxing Public Bicycle,NA,NA,15 June 2011,NA
China,China,Shenzhen / Shekou / Xiaomeisha,Shenzhen City Bicycle Public,Forever Bicycle,NA,September 2010,NA
China,China,Suzhou,NA,NA,NA,2010,NA
China,China,Taiyuan,NA,NA,NA,September 2012,NA
China,China,"Taizhou, Jiangsu",NA,NA,NA,2014,NA
China,China,"Taizhou, Jiangsu",China,NA,NA,2010,NA
China,China,Weifang,Weifang Public Bicycle,NA,NA,October 2013,NA
China,China,Wuhu,NA,NA,NA,2012,NA
China,China,Wuxi,Wuxibike,NA,NA,January 2010,NA
China,China,Xi'an,Xianbicycle,NA,NA,April 2011,NA
China,China,Xuzhou,NA,NA,NA,September 2012,NA
China,China,Yangzhou,NA,NA,NA,March 2014,NA
China,China,Yantai,NA,NA,NA,August 2010,NA
China,China,Yiwu,NA,NA,NA,October 2013,NA
China,China,Yixing,Yixing Public Bicycle,NA,NA,December 2012,NA
China,China,Yueyang,NA,NA,NA,April 2014,NA
China,China,Zhangjiagang,Forever Bicycle,Forever Bicycle,NA,June 2010,NA
China,China,Zhenjiang,Zhenjiang Public Bicycle,NA,NA,1 April 2013,NA
China,China,Zhijin,NA,NA,NA,June 2014,NA
China,China,Zhongshan,NA,NA,NA,2010,NA
China,China,Zhuhai,NA,NA,NA,December 2012,NA
China,China,Zhuzhou,NA,Foshan Tianzhou,NA,May 2011,NA
Colombia,Colombia,Medellín,EnCicla,3 Gen (formally 0 Gen),The Metropolitan Area of Aburra Valley,2011,NA
Croatia,Croatia,Hvar,nextbike,NA,NA,NA,NA
Croatia,Croatia,Dalmacia,nextbike,NA,NA,NA,NA
Croatia,Croatia,Osijek,nextbike,NA,NA,NA,NA
Croatia,Croatia,Split,nextbike,NA,NA,NA,NA
Croatia,Croatia,Various locations,nextbike,NA,NA,NA,NA
Croatia,Croatia,Zadar,nextbike,NA,NA,NA,NA
Croatia,Croatia,Zagreb,nextbike,3 Gen. nextbike,NA,May 2013,NA
Cyprus,Cyprus,Caps St Georges,nextbike,NA,NA,NA,NA
Cyprus,Cyprus,Famagusta,nextbike,NA,NA,NA,NA
Cyprus,Cyprus,Larnaca,nextbike,NA,NA,NA,NA
Cyprus,Cyprus,Limassol,nextbike,3 Gen. nextbike,NA,May 2012,NA
Cyprus,Cyprus,Limassol,Bike in Action,3 Gen. Smoove,NA,NA,NA
Cyprus,Cyprus,Paphos,nextbike,NA,NA,NA,NA
Cyprus,Cyprus,Pissouri,e-asyGo.com Cyprus,own pedelecs,NA,April 2019,NA
Cyprus,Cyprus,Nicosia,EasyBike,EasyBike,EasyBike,October 2011,NA
Cyprus,Cyprus,Nicosia,nextbike,NA,NA,NA,NA
Cyprus,Cyprus,Nicosia District,Bike in Action,3 Gen. Smoove,NA,NA,NA
The Czech Republic,The Czech Republic,Brno,nextbike,NA,NA,NA,NA
The Czech Republic,The Czech Republic,Brno,Rekola,4 Gen.,NA,2014,NA
The Czech Republic,The Czech Republic,Brno,Velonet,NA,Velonet,9 October 2016,2020
The Czech Republic,The Czech Republic,České Budějovice,Rekola,4 Gen.,NA,2015,NA
The Czech Republic,The Czech Republic,Frýdek-Místek,nextbike,NA,NA,NA,NA
The Czech Republic,The Czech Republic,Frýdek-Místek,Rekola,4 Gen.,NA,2018,Discontinued
The Czech Republic,The Czech Republic,Hradec Králové,nextbike,NA,NA,NA,NA
The Czech Republic,The Czech Republic,Hradec Králové,Rekola,4 Gen.,NA,2015,2016
The Czech Republic,The Czech Republic,Kladno,nextbike,NA,NA,NA,NA
The Czech Republic,The Czech Republic,Kladno,Rekola,4 Gen.,NA,2017,2017
The Czech Republic,The Czech Republic,Krnov,Rekola,NA,NA,NA,NA
The Czech Republic,The Czech Republic,Liberec,nextbike,NA,NA,NA,NA
The Czech Republic,The Czech Republic,Liberec,Rekola,4 Gen.,NA,2018,Discontinued
The Czech Republic,The Czech Republic,Olomouc,nextbike,NA,NA,NA,NA
The Czech Republic,The Czech Republic,Olomouc,Rekola,4 Gen.,NA,2014,Discontinued
The Czech Republic,The Czech Republic,Ostrava,nextbike,3 Gen. nextbike,Nextbike,2019,NA
The Czech Republic,The Czech Republic,Ostrava,Rekola,4 Gen.,NA,2018,Discontinued
The Czech Republic,The Czech Republic,Pardubice,Rekola,4 Gen.,NA,2014,2016
The Czech Republic,The Czech Republic,Prague,Bolt,NA,NA,NA,NA
The Czech Republic,The Czech Republic,Prague,Rekola,4 Gen.,NA,2013,NA
The Czech Republic,The Czech Republic,Prague,Freebike,NA,HomePort,NA,NA
The Czech Republic,The Czech Republic,Prague 4,Velonet,NA,Velonet,9 October 2016,2020
The Czech Republic,The Czech Republic,Prague 7,Ofo,4 Gen. Ofo,Ofo,2017,Discontinued
The Czech Republic,The Czech Republic,Prostějov,Rekola,NA,NA,NA,NA
The Czech Republic,The Czech Republic,Prostějov,nextbike,3 Gen. nextbike,Nextbike,2019,Discontinued
The Czech Republic,The Czech Republic,Teplice,Rekola,4 Gen.,NA,2017,Discontinued
The Czech Republic,The Czech Republic,Various locations,nextbike,NA,NA,NA,NA
The Czech Republic,The Czech Republic,Žďár,Rekola,NA,NA,NA,NA
Denmark,Denmark,Aarhus,Aarhus City Bikes,2 Gen,Aarhus Municipality,March 2004,NA
Denmark,Denmark,Aarhus,Donkey Republic,NA,NA,NA,NA
Denmark,Denmark,Aarhus,Bycyklen,2 Gen,NA,May 2007,NA
Denmark,Denmark,Copenhagen,Bolt,NA,NA,NA,NA
Denmark,Denmark,Copenhagen,Bycyklen,Gobike,NA,16 August 2013,NA
Denmark,Denmark,Copenhagen,Donkey Republic,NA,NA,NA,NA
Denmark,Denmark,Copenhagen,Dott,NA,NA,NA,NA
Denmark,Denmark,Copenhagen,TIER,NA,NA,NA,NA
Denmark,Denmark,Copenhagen,Bycykler København,2 Gen,NA,1995,October 2012
Denmark,Denmark,Farsø,NA,2 Gen,NA,1991,NA
Denmark,Denmark,Odense,Donkey Republic,NA,NA,NA,NA
Denmark,Denmark,Various locations,Donkey Republic,NA,NA,NA,NA
Ecuador,Ecuador,Quito,BiciQ,BiciQ,NA,2012,NA
Estonia,Estonia,Tallinn,Bolt,NA,NA,NA,NA
Estonia,Estonia,Tartu,Bike Share,NA,Tartu linn,June 2019,NA
Finland,Finland,Espoo,Kaupunkipyörä,CityBike Finland,HSL,2017,NA
Finland,Finland,Hamina,Kaakau,Donkey Republic,Kaakau,2019,NA
Finland,Finland,Helsinki,Helsinki City Bikes,3 Gen. Smoove,Helsinki City Transport (HKL),May 2017,NA
Finland,Finland,Helsinki,Helsinki City Bikes,2 Gen.,Helsinki City Transport (HKL),2000,2010
Finland,Finland,Hyvinkää,Kaakau,Donkey Republic,Kaakau,2020,2021
Finland,Finland,Iisalmi,Kaakau,Donkey Republic,Kaakau,2019,NA
Finland,Finland,Imatra,Kaakau,Donkey Republic,Kaakau,2018,NA
Finland,Finland,Kotka,Kaakau,Donkey Republic,Kaakau,2018,NA
Finland,Finland,Kouvola,Kaakau,Donkey Republic,Kaakau,2018,NA
Finland,Finland,Kuopio,Vilkku-fillarit,Freebike,City of Kuopio,2019,NA
Finland,Finland,Lahti,Mankeli,Freebike,NA,2022,NA
Finland,Finland,Lappeenranta,Kaakau,Donkey Republic,Kaakau,2019,NA
Finland,Finland,Mikkeli,Kaakau,Donkey Republic,Kaakau,2021,2021
Finland,Finland,Mäntsälä,Mäntsälä-pyörä,Donkey Republic,Kaakau,2019,NA
Finland,Finland,Oulu,Sykkeli,NA,Nextbike Polska,2019,2019
Finland,Finland,Pori,Rolanbike Pori,Rolanbike,Rolanbike,2021,NA
Finland,Finland,Porvoo,Kaakau,Donkey Republic,Kaakau,2020,NA
Finland,Finland,Raseborg,Kaakau,Donkey Republic,Kaakau,2020,NA
Finland,Finland,Riihimäki,Kaakau,Donkey Republic,Kaakau,2020,NA
Finland,Finland,Rauma,Easybike,Easybike,Easybike,2019,NA
Finland,Finland,Seinäjoki,Easybike,Easybike,Easybike,2020,2021
Finland,Finland,Tampere,Sale-Pyörä,CityBike Global,Nysse,2021,NA
Finland,Finland,Turku,Föllärit,Donkey Republic,Föli,2022,NA
Finland,Finland,Turku,Föli-Fillarit,Nextbike,Föli,2018,2020
Finland,Finland,Vaasa,Rekola,4 Gen.,NA,2018,Discontinued
Finland,Finland,Vantaa,Kaupunkipyörä,CityBike,HSL,2019,NA
Finland,Finland,Varkaus,Juro,Juro,Juro Sharing Infra,2021,NA
France,Auvergne-Rhône-Alpes,Clermont-Ferrand,C.Vélo,3 Gen. Smoove,SMTC,June 2013,NA
France,Auvergne-Rhône-Alpes,Grenoble,Métrovélo,3 Gen. Smoove,NA,2006,NA
France,Auvergne-Rhône-Alpes,Grenoble,Dott,NA,NA,NA,NA
France,Auvergne-Rhône-Alpes,Lyon,Vélo'v,3 Gen. Cyclocity,NA,19 May 2005,NA
France,Auvergne-Rhône-Alpes,St. Etienne,Vélivert formerly Vélo Vert,3 Gen. Smoove,NA,26 June 2010,NA
France,Auvergne-Rhône-Alpes,"Valence, Drôme",Libélo,3 Gen. Smoove,Transdev,March 2010,NA
France,Bourgogne-Franche-Comté,Belfort,Optymo,3 Gen. Smoove,NA,May 2013,NA
France,Bourgogne-Franche-Comté,Besançon,VéloCité,3 Gen. Cyclocity,NA,September 2007,NA
France,Bourgogne-Franche-Comté,Chalon-sur-Saône,Réflex,3 Gen. Smoove,Transdev,December 2007,NA
France,Bourgogne-Franche-Comté,Dijon,Velodi,3 Gen. Clear CC,NA,February 2008,NA
France,Brittany,Rennes,LE vélo STAR,3 Gen. Clear CC,NA,June 1998,NA
France,Brittany,Vannes,Vélocéa,OYBike,NA,June 2009,NA
France,Centre-Val de Loire,Orléans,Vélo'+,EFFIA,NA,June 2007,NA
France,Grand Est,Mulhouse,VéloCité,3 Gen. Cyclocity,NA,15 September 2007,NA
France,Grand Est,Nancy,VélOstan,3 Gen. Cyclocity,JCDecaux,27 September 2009,NA
France,Grand Est,Strasbourg,Vélhop,3 Gen. Smoove,NA,October 2010,NA
France,Grand Est,Strasbourg + Region,nextbike,NA,NA,NA,NA
France,Hauts-de-France,Amiens,Vélam,3 Gen. Cyclocity,NA,February 2008,NA
France,Hauts-de-France,Calais,Vel'in,OYBike,NA,July 2010,NA
France,Hauts-de-France,Dunkirk,Dk'vélo,Veolia,NA,2013,NA
France,Hauts-de-France,Lille,V'Lille,Keolis,NA,2011,NA
France,Île-de-France,Cergy-Pontoise,VélO2,Cyclocity,JCDecaux,March 2009,NA
France,Île-de-France,Créteil,Cristolib,3 Gen. Cyclocity,JCDecaux,April 2010,NA
France,Île-de-France,Paris,Vélib',3 Gen. Cyclocity,JCDecaux,15 July 2007,31 December 2017
France,Île-de-France,Paris,Dott,NA,NA,NA,NA
France,Île-de-France,Paris Region,TIER,NA,NA,NA,NA
France,Île-de-France,Grand Paris,Vélib' Métropole,3 Gen. Smoove,Smovengo,1 January 2018,NA
France,Nouvelle-Aquitaine,Bordeaux,VCUB,Keolis,NA,February 2010,NA
France,Normandy,Caen,V'eol,3 Gen. Clear CC,NA,March 2008,NA
France,Normandy,Rouen,Cy'clic,3 Gen. Cyclocity,NA,December 2007,NA
France,Nouvelle-Aquitaine,La Rochelle,Yélo,Homeport,NA,February 2010,NA
France,Nouvelle-Aquitaine,La Rochelle,Vélos Jaunes,Zero Generation,NA,1974,Discontinued
France,Nouvelle-Aquitaine,Pau,IDEcycle,NA,NA,NA,NA
France,Nouvelle-Aquitaine,Poitiers,Cap'Vélo,NA,NA,September 2007,NA
France,Occitania,Montpellier,Vélomagg',3 Gen. Smoove,NA,June 2007,NA
France,Occitania,Perpignan,BIP!,3 Gen. Clear CC,NA,February 2008,NA
France,Occitania,Toulouse,VélôToulouse,3 Gen. Cyclocity,NA,16 November 2007,NA
France,Pays de la Loire,Angers,VéloCité,3 Gen. Cyclocity,NA,2004,NA
France,Pays de la Loire,Nantes,Bicloo,3 Gen. Cyclocity,NA,May 2008,NA
France,Provence-Alpes-Côte d'Azur,Avignon,Vélopop',3 Gen. Smoove,NA,July 2009,NA
France,Provence-Alpes-Côte d'Azur,Marseille,Le vélo,3 Gen. Cyclocity,NA,2007,NA
France,Provence-Alpes-Côte d'Azur,Nice,Vélo Bleu,OYBike,NA,July 2009,NA
Georgia,Georgia,Batumi,BatumVelo,3 Gen. SmooveKey,Batumi Avtotransporti,May 2013,NA
Germany,Baden-Württemberg,Baden-Baden,nextbike,NA,NA,NA,NA
Germany,Baden-Württemberg,Baden-Baden,Call a Bike,3 & 4 Gen. Call a Bike flex,NA,2015,Discontinued
Germany,Baden-Württemberg,Freiburg im Breisgau,Call a Bike,3 & 4 Gen. Call a Bike flex,NA,2010,NA
Germany,Baden-Württemberg,Freiburg im Breisgau,nextbike,3 Gen. nextbike,NA,2019,NA
Germany,Baden-Württemberg,Friedrichshafen,Dott,NA,NA,NA,NA
Germany,Baden-Württemberg,Heidelberg,Call a Bike,NA,NA,NA,NA
Germany,Baden-Württemberg,Heidelberg,nextbike,NA,NA,NA,NA
Germany,Baden-Württemberg,Karlsruhe,nextbike,NA,NA,NA,NA
Germany,Baden-Württemberg,Konstanz,nextbike,NA,NA,NA,NA
Germany,Baden-Württemberg,Mannheim,Call a Bike,NA,NA,NA,NA
Germany,Baden-Württemberg,Mannheim,nextbike,NA,NA,NA,NA
Germany,Baden-Württemberg,Offenburg,nextbike,3 Gen. nextbike,NA,2010,NA
Germany,Baden-Württemberg,Ortenaukreis,nextbike,NA,NA,NA,NA
Germany,Baden-Württemberg,Region Mittlerer Oberrhein ,KVV.nextbike,nextbike,NA,NA,NA
Germany,Baden-Württemberg,Reutlingen,TIER,NA,NA,NA,NA
Germany,Baden-Württemberg,Stuttgart + Region,Call a Bike,4 Gen. Call a Bike fix,NA,June 2007,NA
Germany,Baden-Württemberg,Tübingen,TIER,NA,NA,NA,NA
Germany,Baden-Württemberg,Tübingen,nextbike,3 Gen. nextbike,NA,2009,Discontinued
Germany,Baden-Württemberg,Tuttlingen,Donkey Republic,NA,NA,NA,NA
Germany,Baden-Württemberg,Überlingen,Dott,NA,NA,NA,NA
Germany,Baden-Württemberg,Ulm,TIER,NA,NA,NA,NA
Germany,Bavaria,Aschaffenburg,Call a Bike,3 Call a Bike,NA,NA,NA
Germany,Bavaria,Aschaffenburg,nextbike,3 Gen.,NA,NA,NA
Germany,Bavaria,Augsburg,Donkey Republic,NA,NA,NA,NA
Germany,Bavaria,Bamberg,Donkey Republic,NA,NA,NA,NA
Germany,Bavaria,Cham,Donkey Republic,NA,NA,NA,NA
Germany,Bavaria,Coburg,nextbike,3 Gen. nextbike,NA,2009,Discontinued
Germany,Bavaria,Erlangen,VAG_Rad,nextbike,NA,NA,NA
Germany,Bavaria,Fürth,VAG_Rad,nextbike,NA,NA,NA
Germany,Bavaria,Ingolstadt,Call a Bike,NA,NA,NA,NA
Germany,Bavaria,Landshut,Donkey Republic,NA,NA,NA,NA
Germany,Bavaria,Lindau,TIER,NA,NA,NA,NA
Germany,Bavaria,Munich,Bolt,NA,NA,NA,NA
Germany,Bavaria,Munich,Call a Bike,4 Gen. Call a Bike flex,NA,March 2000,NA
Germany,Bavaria,Munich,nextbike,3 Gen. nextbike,NA,2011,NA
Germany,Bavaria,Munich,TIER,NA,NA,NA,NA
Germany,Bavaria,Nuremberg,Lastenrad für alle,Bluepingu e.V.,NA,2017,NA
Germany,Bavaria,Nuremberg,VAG_Rad,3 & 4 Gen. nextbike,NA,2019,NA
Germany,Bavaria,Nuremberg,NorisBike,3 Gen. nextbike,NA,2011,2018
Germany,Bavaria,Regensburg,Donkey Republic,NA,NA,NA,NA
Germany,Bavaria,Regensburg,TIER,NA,NA,NA,NA
Germany,Bavaria,Schwabach,VAG_Rad,nextbike,NA,NA,NA
Germany,Bavaria,Straubing,Donkey Republic,NA,NA,NA,NA
Germany,Bavaria,Würzburg,Call a Bike,NA,NA,NA,NA
Germany,Berlin,Berlin,Bolt,NA,NA,NA,NA
Germany,Berlin,Berlin,Call a Bike,NA,NA,April 2020,NA
Germany,Berlin,Berlin,Donkey Republic,4 Gen.,NA,April 2017,NA
